name,amenity,address,city,state,postcode,phone,website,lat,lon,osm_type,osm_id
The Otheroom,bar,143 Perry Street,,,,+1-212-645-9758,https://theotheroomnyc.com/,40.734943,-74.008038,node,6119467432
Southgate Roller Rink,sports_centre,9646 17th Avenue Southwest,Seattle,WA,98106,+1-206-707-6949,,47.516049,-122.355973,node,6120367415
5 Bar Karaoke Lounge,bar,38 West 32nd Street,New York,NY,10001,+1 212-594-6644,https://www.5barkaraoke.com,40.747787,-73.987423,node,6234654089
Century Ktu,restaurant,1555 South Havana Street,Aurora,CO,80012,+1-303-750-0059,,39.688534,-104.867712,node,6254838430
Alice’s Lounge,bar,3420 West Belmont Avenue,Chicago,IL,60618,+1-773-279-9382,,41.939341,-87.717258,node,6261014741
Nam's Noodle,restaurant,1336 Regent Street,Madison,WI,,,https://www.namnoodle.com/,43.067876,-89.408457,node,6496279986
Goemon & Kakigori,,3141 Clement Street,,,,+1 415-756-9986,,37.781525,-122.493123,node,6744734325
Monroe's Nightclub & Grill,bar,Hilltop Drive,,,,,,40.580162,-122.357387,node,6894847492
Tokki,bar,182 East Cheyenne Mountain Boulevard,Colorado Springs,CO,80906,,https://tokkicolorado.com/,38.790487,-104.823402,node,7128899471
Bull Shooters,bar,3337 West Peoria Avenue,Phoenix,AZ,85029,+1-602-441-2447,https://bullshooters-az.com,33.580691,-112.132775,node,7160194497
Chuan Du Hot Pot,restaurant,27 Temple Street,New Haven,CT,06510,+1-203-745-4127,https://newhavenhotpot.wixsite.com/mysite/,41.30417,-72.928601,node,7447486159
Music Tunnel KTV Cafe,cafe,1132 South De Anza Boulevard,San Jose,,95129,+1 408-446-0888,https://www.musictunnelktv.com/,37.30577,-122.031694,node,7757334644
Karaoke Bleu,bar,,,,,,,34.039826,-118.442501,node,8569870511
Khartoum,bar,300 Orchard City Drive,Campbell,CA,95008,,,37.285789,-121.943847,node,8960999956
Festa Wine & Cocktail Lounge,bar,,,,,+1 415 5675866,https://festalounge.com/,37.785178,-122.431609,node,9200292442
Pagoda,bar,1704 Post Street,San Francisco,CA,,,,37.785714,-122.429999,node,9579873173
Privé,restaurant,1001 West Broadway,,,,+1-604-336-9330,https://privevancouver.com/,49.263639,-123.126978,node,9590609719
K One Karaoke,karaoke,,,,,+1-212-925-1999,,40.717342,-73.995048,node,9661182873
Rising Tides,bar,9909 Garland Road,,,,,https://risingtidesbar.com/,32.837633,-96.69786,node,10768950976
The Brass Monkey,bar,,,,,,,34.061059,-118.298909,node,10933394759
Gaythering,bar,1409 Lincoln Road,Miami Beach,FL,33139,+1 786-284-1176,https://www.gaythering.com/bar.html,25.790564,-80.143828,node,10947597279
Tom's Burgers,fast_food,1501 Olympic Boulevard,,,90640,+1-323-722-1051,,34.008442,-118.117812,node,11033589005
Park Center Lounge,bar,,,,,,,39.914693,-105.008174,node,11040112015
L'Astral 2000,bar,1845 Rue Ontario Est,,,,+1 514 523 1447,,45.526492,-73.559036,node,11108904494
161 Lafayette,bar,161 Lafayette Street,,,10013,,https://www.161lafayettebar.com,40.719814,-73.999074,node,11447971796
Papi Chulo,restaurant,3388 Rue Jean-Talon Est,,,,+1-514-721-8485,https://restaurantpapichulo.com/,45.560366,-73.596759,node,11828405766
Bistro Chez Alberto,pub,3380 Rue Jean-Talon Est,,,,,http://chezalberto.com/,45.560308,-73.596829,node,11828405767
Pub les Sportifs,bar,2300 Rue Ontario Est,,,,+1 514 521 2046,,45.530476,-73.554887,node,12030179657
The Square Deal,bar,,,,,+1 507 720 6062,,44.163092,-94.006651,node,12103782498
Astro Karaoke,restaurant,2150 Lomita Boulevard,,,90717,+1-310-530-4800,https://astrokaraoke.com/,33.801828,-118.319023,node,12167142386
OTR Funplex,bar,1112 Race Street,Cincinnati,OH,45202,+1 513-675-0525,https://www.otrfunplex.com/,39.107532,-84.516075,node,12174947948
Planet Rose,bar,219 Avenue A,New York,,,,,40.730147,-73.98075,node,12313182579
The Bangkok Lounge,bar,353 King Street,Charleston,SC,29401,+1-843-203-4322,https://www.thebangkoklounge.com,32.784933,-79.935859,node,12776522272
The Basket Case Pub,pub,610 West Main Street,Peoria,IL,61606,+1-309-676-2273,,40.699356,-89.602579,node,12996769001
The Shores Bar and Restaurant,bar,1031 Harbor Boulevard,Oxnard,CA,93035,,,34.190975,-119.23934,node,13140307906
Lane 33 Bar & Grill,bar,,,,,,,34.192986,-118.57184,node,13198618867
Club Ya-Mang,restaurant,953 East Sahara Avenue,Las Vegas,NV,89104,+1 702-792-5500,,36.143468,-115.143416,node,13338981403
Assa Karaoke,nightclub,953 East Sahara Avenue,Las Vegas,NV,89104,+1 725-201-2074,,36.14318,-115.144172,node,13338996920
Paradise Isle,bar,9568 Las Tunas Drive,Temple City,CA,91780,,,34.106364,-118.061357,node,13438649779
Dave's Pubb,bar,,,,,+1 208-456-2789,https://davestetonia.com,43.814664,-111.160424,node,13686836162
8090 KTV,nightclub,,,,,,,43.652847,-79.398895,node,13971482573
Effie's Restaurant and Bar,restaurant,331 West Hacienda Avenue,Campbell,CA,95008,+1-408-374-3400,https://www.effiesrestaurantandbar.com/,37.269536,-121.956946,way,39129990
Metro Sportz Bar,bar,,Phoenix,,,,,33.579404,-112.11868,way,68295659
Mango's Tropical Cafe Orlando,nightclub,8126 International Drive,Orlando,FL,32819,+1-407-673-4422,https://mangos.com/mangos-orlando/,28.448123,-81.471741,way,140619619
Revive,pub,90 King Street North,,,,,,43.468257,-80.522884,way,150154105
Insa,restaurant,328 Douglass Street,,,11217,+1-718-855-2620,https://www.insabrooklyn.com/,40.67943,-73.982683,way,241845981
Mango's Tropical Cafe Miami Beach,nightclub,900 Ocean Drive,Miami Beach,FL,33139,+1 305-673-4422,https://miami.mangos.com/,25.779419,-80.131164,way,255402204
Soho KTV & Bar,nightclub,32-03 Farrington Street,Flushing,NY,11354,,,40.767682,-73.832876,way,284629952
Family Karaoke,bar,11433 Goodnight Lane,,,,,https://familykaraokedfw.com/,32.89681,-96.902543,way,465047927
Voicebox Karaoke,bar,734 Southeast 6th Avenue,Portland,OR,97214,+1-503-303-8220,https://voiceboxkaraoke.com/,45.517527,-122.65943,way,519770053
Galaxy KTV,bar,,,,,,,41.508936,-81.668782,way,550145879
Casey Jones Tavern,pub,,,,,,,41.463757,-81.790787,way,554752800
Broken Glass Bar,restaurant,2222 Highway 99 North,Eugene,OR,97402,+1 458 205 8243,,44.090677,-123.161095,way,794601417
Mom's Bar,bar,614 University Avenue,Madison,WI,53715,,,43.073433,-89.396405,way,1436736200
168 Crab & Karaoke,restaurant,32415 John R Road,Madison Heights,MI,48071,+1-248-616-0168,https://www.168crab.com/,42.531274,-83.107971,way,1493529977
Sinatra (Bay & Karaoke),bar,,,,,,,24.162534,-110.314595,node,986750413
K Karaoke Bar,bar,2110 Rue Crescent,,,H3G 2B8,,,45.498273,-73.578289,node,1232026851
Canary Roost Karaoke Bar,bar,11900 Metric Boulevard,Austin,TX,78758,+1-512-836-6360,https://canary-roost.business.site/,30.400485,-97.703962,node,1250747839
Kroaky's Karaoke,bar,South Tamiami Trail,,,34231,,http://www.kroakys.com,27.29035,-82.531112,node,1601992974
Gamba Karaoke,nightclub,19990 East Homestead Road,Cupertino,CA,95014-0556,,,37.336887,-122.02292,node,2029154946
Novabox Karaoke,nightclub,4744 University Way Northeast,Seattle,,98105,,,47.66441,-122.312929,node,2323840329
Boite a Karaoke (La),nightclub,,,,,,,45.491642,-73.582033,node,2519449690
Family Karaoke,nightclub,2760 South Havana Street,Aurora,CO,80014,+1-303-564-9741,https://www.yelp.com/biz/family-karaoke-aurora,39.666336,-104.864396,node,2753136848
Pandora Karaoke Bar,bar,,,,,,,37.784121,-122.410508,node,2879135420
Glitter Karaoke,bar,2621 Milam Street,Houston,TX,77006,,,29.745745,-95.376208,node,3335384121
Miki's Karaoke Bar,restaurant,2230 Frankfort Avenue,Louisville,KY,40206,,,38.253344,-85.704826,node,3364206300
Mac's Karaoke Bar,bar,828 Lane Allen Road,Lexington,KY,40504,,,38.029143,-84.541455,node,3478891005
Encore Karaoke,nightclub,1550 Fl 2 California Street,San Francisco,CA,94109,,,37.790855,-122.420037,node,3635648154
Karaoke & Screen Golf,nightclub,2743 Erie Boulevard East,Syracuse,NY,13224,+1-315-446-5852,https://www.biwonsyracuse.com/palace-music-studio.html,43.0553,-76.096596,node,3812746455
Ginza BBQ Lounge & Karaoke,restaurant,524 8th Street Southeast,Washington,DC,20003,,https://www.ginzaktv.com/,38.881838,-76.994574,node,3892242699
Tasty Time 425 & KTV Karaoke Lounge,restaurant,,,,,+1-425-644-5000,,47.629914,-122.154797,node,3950968421
K-mix Karaoke & Bar,bar,3400 Westgate Drive,Durham,NC,27707,,,35.964936,-78.96217,node,4316225124
Studio 10 Karaoke Box,bar,9955 Southwest Beaverton Hillsdale Highway,Beaverton,OR,97005,+1-503-746-5255,,45.486833,-122.780216,node,4503712837
La Frontera Steak House and Karaoke Bar,restaurant,4745 Federal Boulevard,Denver,CO,80211,,,39.782925,-105.02567,node,4507556703
Karaoke City,bar,22 West 32nd Street,,,10001,+1 646-791-8318,http://www.karaokecitynyc.com/,40.747499,-73.986946,node,4875112182
Voice Karaoke Bar & Lounge,bar,,,,,,,29.892362,-95.684482,node,4930501045
YZ's KTV Karaoke Cafe,restaurant,1350 South Longmore,Mesa,AZ,85202,,,33.389044,-111.864668,node,4983359023
Offkey Karaoke Lounge & Suites,bar,,,,,,,39.052671,-94.592179,node,4989082718
Voko Karaoke,pub,14561 Red Hill Avenue,Tustin,,92780,,,33.727366,-117.822689,node,5006060146
Friend's Karaoke Bar,bar,1211 West Battlefield Road,Springfield,MO,65807,,,37.160805,-93.308328,node,5035324389
Millennium Karaoke,bar,4451 Number 3 Road,Richmond,,,,,49.18121,-123.137011,node,5041745850
Rumours Karaoke Cafe,bar,450 East 17th Avenue,Denver,CO,80203,+1-720-476-6360,https://rumourskaraokecafe.com/,39.743119,-104.981299,node,5067690182
Voicebox Karaoke Lounge,bar,2601 Walnut Street,Denver,CO,80205,,,39.759554,-104.986317,node,5114051571
Mua Bui Karaoke,bar,,,,,,,43.669652,-79.483018,node,5181200156
Shout Karaoke,bar,,,,,,,43.779471,-79.415925,node,5703323661
Lincoln Karaoke,bar,5526 North Lincoln Avenue,Chicago,IL,60625,+1-773-895-2299,https://www.lincolnkaraokechicago.com/,41.981885,-87.69361,node,5714336861
N Dolphin Karaoke,bar,,,,,,,43.77843,-79.414815,node,5720605316
Vermont Karaoke and Billiards,bar,191 South Vermont Avenue,Los Angeles,CA,90004,+1-213-385-3337,,34.07045,-118.292005,node,5908815773
Revolution Karaoke,restaurant,400 Jefferson Road,Rochester,NY,14623,,,43.090721,-77.642395,node,5924953485
Greenlight Korean Pub & Karaoke,bar,2519 West Peterson Avenue,Chicago,IL,60659,+1-872-806-2014,https://www.greenlightchicago.com/,41.990226,-87.692936,node,6292149074
Sakura Karaoke Bar,bar,234 West Cermak Road,Chicago,IL,60616,+1-312-326-9168,https://www.sakurakaraokebar.com/,41.853146,-87.63316,node,6297526820
Rory Lake’s Karaoke Dreams,bar,1824 West Cortland Street,Chicago,IL,60647,+1-773-278-0093,https://www.rorylakepresents.com/,41.916227,-87.673774,node,6321781325
No.18 Karaoke,bar,2201 South Wentworth Avenue,Chicago,IL,60616,+1-312-600-9184,https://www.no18karaoke.com/,41.852633,-87.63174,node,6326147995
Gorhe Gorhe Karaoke,pub,,,,,+1-416-916-2720,,43.663811,-79.417759,node,6353527506
Tang Karaoke & BBQ,restaurant,33 Wilbur Cross Way,Storrs,CT,06268,+1-860-477-1264,https://www.tangktvuconn.com/,41.803703,-72.24134,node,6491642633
Inhabit karaoke lounge,bar,,,,,,,40.715717,-73.993492,node,6568734440
Monster L Karaoke,bar,8400 Alexandra Road,Richmond,,V6X 1C3,+1-604-821-1800,https://monster-l-karaoke.business.site/,49.177717,-123.130541,node,6638489560
Karaoke,restaurant,418 South Military Avenue,Green Bay,,54303,,,44.525846,-88.063248,node,6876865520
Marcelina's Filipino Cuisine and Karaoke Bar,restaurant,355 Wilson Avenue,North York,,M3H 1T3,+1-647-350-1200,https://marcelinasfilipinocuisine.com/,43.736533,-79.436816,node,7553541459
Karaoke,bar,2980 Gallows Road,Fairfax,VA,22031,,,38.869783,-77.229232,node,7598633030
Starz Karaoke Lounge,bar,,,,,,,33.411816,-86.663797,node,7787832019
Reno's Karaoke and Pool,bar,20810 Gulf Freeway,Webster,TX,,,,29.523969,-95.129772,node,8123180648
Rehab Karaoke,bar,512 North Chaparral Street,Corpus Christi,TX,78401,,,27.796561,-97.393734,node,8226000188
EKO Karaoke Lounge,bar,,,,,,,33.859768,-117.996963,node,8702512689
Karaoke-7 Nights,bar,,,,,,,39.760375,-86.077109,node,8972974751
Spotlight Karaoke,nightclub,5901 Westheimer Road,Houston,TX,,,,29.736921,-95.485428,node,9007457163
Spicy Palace Karaoke Bar,bar,,,,,+1-647-330-6848,,43.254582,-79.862946,node,9174978464
Knox Box Karaoke Bar,bar,,,,,,,35.964894,-83.917882,node,9581348213
Culver Karaoke,bar,,,,,,,34.02157,-118.402568,node,9680731019
Zodiac Karaoke and Pub | 酒吧 夜店 KTV,nightclub,8191 Alexandra Road,Richmond,,V6X 1C3,+1 604 428 9908,,49.178496,-123.133352,node,10038217301
El Damazo Restaurant & Karaoke,restaurant,,,,,,,38.729267,-77.473265,node,10982842870
Star Karaoke,restaurant,1503 Lyndhurst Alley,Savoy,IL,61874,+1-217-574-5211,https://www.orderstarkaraoke.com/,40.073555,-88.250834,node,11817130838
K-ROK Korean BBQ & Karaoke,restaurant,169 Louis Campau Promenade Northwest,Grand Rapids,MI,49503,+1-616-369-5765,https://www.krokgr.com,42.965504,-85.673091,node,11931765897
Tenjim Yokocho: Karaoke & Bar,bar,,,,,,,43.665706,-79.35071,node,12173947413
Planet Rose Karaoke Bar,bar,2801 Pacific Avenue,Atlantic City,NJ,08401,,,39.353346,-74.446027,node,12234820380
K-Pub Korean Cuisine & Karaoke,restaurant,12233 Ranch Road 620 North,Austin,TX,78750,,,30.461513,-97.814999,node,12803066275
Beyond Karaoke,bar,530 4th Street,Bremerton,WA,98337,,beyond-karaoke.com,47.565901,-122.627828,node,12910953757
Young St Karaoke Lounge,bar,1177 Burnhamthorpe Road West,,,,,,43.567511,-79.659515,node,12993270334
Night Kitty Karaoke Bar,bar,,,,,,,38.044542,-84.506455,node,13384407928
Yesterday’s Karaoke,bar,828 Lane Allen Road,Lexington,KY,40504,,,38.029339,-84.541337,node,13614850612
Knox Box Karaoke,bar,522 South Gay Street,,,37902,+1-865-240-4183,https://knoxboxkaraoke.com/,35.964697,-83.91772,node,13635519901
V Shine Karaoke Restaurant,restaurant,Wyandotte Street West,,,,,,42.305842,-83.060943,node,13713656801
Jade Karaoke,bar,808 South Western Avenue,Los Angeles,CA,90005,+1-213-375-7210,https://www.jade-la.com/,34.056988,-118.308647,node,13808920886
Stone Karaoke and Lounge,nightclub,1020 Bellevue Way Northeast,Bellevue,WA,98004,,,47.620191,-122.2012,way,104711411
Sisters Karaoke Bar,bar,105 Ladiga Street Southeast,Jacksonville,AL,36265-2542,,,33.813267,-85.760846,way,201065629
Big Box Karaoke,bar,115 North Block Avenue,Fayetteville,AR,72701,+1 479 249 6295,https://www.bigboxkaraoke.com/,36.064265,-94.16085,way,467812297
Tampa Karaoke Vip / TK Lounge,bar,930 East Fletcher Avenue,Tampa,FL,33612,,,28.069772,-82.449564,way,524001016
Kevin Karaoke Sports Bar,bar,5001 Highway 22,Callaway,,32404,,,30.153409,-85.59922,way,637717473
Un Ha Su Restaurant & Karaoke,restaurant,,,,,,,33.45184,-82.038243,way,677964933
Wanna B's Karaoke Bar,bar,,,,,,,36.161253,-86.776101,way,1343832629
Highway 40 Karaoke Barn,restaurant,1450 West Union Road,Norwich,OH,43767,+1 740-872-3429,,39.950811,-81.798734,way,1441811751
Amped Private Suite Karaoke Bar,bar,910 West Juneau Avenue,Milwaukee,WI,53233,,,43.04595,-87.923372,way,1457222760
Icy Snow Karaoke,karaoke_box,204 West College Avenue,State College,PA,16801,+1-814-234-2000,,40.793349,-77.86284,node,802356357
The Mint Karaoke Lounge,karaoke_box,1942 Market Street,San Francisco,CA,94102,+1-415-626-4726,https://themint.net,37.770261,-122.425796,node,2005893376
The W Karaoke Lounge,karaoke_box,6556 Delmar Boulevard,University City,MO,63130,+1 314-376-4055,https://www.thewkaraoke.com,38.656344,-90.307248,node,2464830351
Christmas Karaoke,karaoke_box,47-29 Bell Boulevard,Bayside,NY,11361,,https://www.karaokexmas.com/,40.756091,-73.76712,node,2881739127
Happy Karaoke,karaoke_box,160-30A Northern Boulevard,Flushing,NY,11358,+17188866886,https://www.happykaraokenyc1.com/,40.762405,-73.804602,node,2882557513
Karaoke (noraebang),,,,,,,,34.005065,-84.084735,node,2955185070
Home Karaoke Ltd.,,,,,,+1-416-291-3121,,43.788377,-79.263452,node,3507246693
DN Karaoke,,3005 Silver Creek Road,San Jose,CA,95121,,http://dnkaraoke.com/,37.308429,-121.81401,node,4360926928
The Karaoke Spot,karaoke_box,3895 Cherokee Street Northwest,Kennesaw,GA,30144,,https://www.thekaraokespot.com/,34.048947,-84.600987,node,4702857730
Solo Karaoke,karaoke_box,6462 Kingsway,,,,+1-604-438-7881,https://www.soloktv.ca/,49.219184,-122.969668,node,4742507237
Mb Karaoke & Billard,karaoke_box,,,,,,,37.980831,-122.068493,node,4824241812
Heart & Seoul Karaoke,studio,52 West Center Street,Provo,UT,84601,+1-385-325-1672,https://www.provokaraoke.com,40.233944,-111.659704,node,5184495573
BarZunko Karaoke,karaoke_box,,,,,,https://www.kkaraoke.ca/barjunko/,43.668881,-79.386023,node,5202534598
Karaoke Shout,karaoke_box,32-46 Steinway Street,Astoria,NY,11103,+1-718-569-0080,https://www.karaokeshout.com,40.757883,-73.920096,node,5351475824
Live K Karaoke,karaoke_box,,,,,,,38.878906,-77.023486,node,5543915181
Echo Karaoke,karaoke_box,,,,,,,43.663658,-79.417402,node,6362849585
Professional Karaoke,,979 Story Road,San Jose,CA,95122,,,37.331491,-121.857376,node,6435975123
Karaoke Duet,karaoke_box,900 8th Avenue,New York,NY,10019,+1-212-757-4676;+1-212-757-4748,https://www.karaokeduet.com,40.764128,-73.984336,node,6966481877
CEO Karaoke,karaoke_box,1617 North Atherton Street,State College,PA,16803,+1-814-954-8688,http://ceokaraoke.com/,40.809534,-77.894996,node,8188517784
Max Karaoke,karaoke_box,333 South Alameda Street,Los Angeles,CA,90013,,,34.045431,-118.23834,node,8461651389
First Avenue Karaoke Music Studio,karaoke_box,,,,,,,47.321565,-122.312941,node,8565881642
The K Karaoke,karaoke_box,,,,,+1-416-371-4142,https://www.kkaraoke.ca/thekkaraoke.html,43.663604,-79.417451,node,9168255489
Do Re Mi Karaoke,karaoke_box,,,,,,,44.820654,-93.205162,node,9234733591
Stage Karaoke,karaoke_box,138 Brighton Avenue,Allston,MA,02134,,https://stagekaraoke.com/,42.352805,-71.131746,node,9349899226
K-Box Karaoke,karaoke_box,1660 Geary Boulevard,,CA,,+1 628 9990183,https://www.k-box-karaoke.com/,37.784874,-122.430493,node,9354569241
Glam Karaoke,karaoke_box,,,,,,,38.829989,-77.187814,node,9454640033
Chubby's Karaoke,karaoke_box,,,,,,,35.160259,-80.8494,node,9550362663
Passion Karaoke,,13900 Brookhurst Street,Garden Grove,CA,92843,+1-714-638-8399,https://passion-karaoke.com/,33.760826,-117.953324,node,9752899182
MICS Karaoke,karaoke_box,6035 Peachtree Road,Doraville,GA,30360,+1 770 462 9999,,33.907669,-84.286998,node,9870914041
Noblesse Karaoke,karaoke_box,149-38 41st Avenue,,NY,11355,,,40.762318,-73.814426,node,9989462437
Pure Karaoke,,1297 East Calaveras Boulevard,,,,,,37.435713,-121.884875,node,10575220579
Karaoke Duet,karaoke_box,53 West 35th Street,New York,NY,10018,+1-646-473-0826;+1-646-473-0827,https://www.karaokeduet.com/,40.750229,-73.986238,node,10963961482
Jaguar Karaoke,karaoke_box,2516 Durant Avenue,,,,,,37.867701,-122.258122,node,10969667016
Pang Pang Karaoke,,1226 Rue Mackay,,,H3G2H4,,,45.495093,-73.575988,node,11060665705
Corner Spot Karaoke LeCafe,karaoke_box,6432 Tupelo Drive,Citrus Heights,CA,95621,,,38.705671,-121.313801,node,11105727447
August Karaoke Box,karaoke_box,1301 East University Drive,Tempe,AZ,85281,+1-480-590-1037,https://8ktv.net/,33.42113,-111.916747,node,11461485229
Ninja Karaoke,karaoke_box,,,,,,,36.125813,-115.211802,node,11510205645
iRock Karaoke Lounge,karaoke_box,,,,,,,39.118104,-77.185092,node,11583820542
FAMFAM Karaoke,events_venue;karaoke,,,,,,https://www.famfam.family/,33.750981,-84.399318,node,11751781249
Echo Karaoke,karaoke_box,1844 West Broadway Road,Mesa,AZ,85202,,,33.408787,-111.871554,node,11902990086
Sing Sing Karaoke,karaoke_box,,,,,+1-212-387-7800,https://karaokesingsing.com/,40.729388,-73.989116,node,11910381817
Shout Karaoke,karaoke_box,,,,,,,33.738735,-117.824874,node,11913645347
K-Fever Karaoke,karaoke_box,8300 Capstan Way,Richmond,,,,,49.187705,-123.131077,node,11990371105
Family Karaoke,karaoke_box,,,,,,,39.281001,-76.862797,node,12280320287
Soju Blues Korean Bar & Karaoke,karaoke_box,,,,,,,29.704944,-95.555719,node,12540809503
All In Karaoke,karaoke_box,,,,,,,40.84769,-73.970544,node,12597075713
Blue Moon Cafe and Karaoke,karaoke_box,,,,,,,38.528461,-121.496374,node,12686075689
Astro Karaoke,,,,,,,,33.872623,-118.319145,node,12772945949
Muse Karaoke,events_venue,1555 Sepulveda Boulevard,,,90501,+1-310-325-4408,,33.816224,-118.30514,node,12820930201
XSPACE Karaoke,karaoke_box,5232 Bethel Center Mall,Columbus,OH,43220,+1-614-530-8375,,40.06479,-83.06019,node,13089249961
Boom Karaoke,karaoke_box,577 Yonge Street,,,,+1-647-458-2588,https://www.boomkaraoke.ca/,43.665631,-79.384618,node,13146191214
SingBox Karaoke,karaoke_box,,,,,,,32.986439,-96.910878,node,13196161463
233 Starr Karaoke,karaoke_box,233 Starr Street,,,11237,+1-929-210-8687,https://www.233starrkaraoke.com,40.705518,-73.922883,node,13273339604
D'Vine Karaoke,karaoke_box,261 South Mission Drive,San Gabriel,CA,91776,,,34.09893,-118.109751,node,13413575413
Camino Karaoke,karaoke_box,3378 El Camino Real,Santa Clara,CA,95051,,,37.352059,-121.988978,node,13624193198
K-House Karaoke and Arts Hub,karaoke_box,121 West State Street,Ithaca,NY,14850,+1-607-339-8981,https://www.khousekaraoke.com/,42.439379,-76.499807,node,13667982071
Gono Karaoke,karaoke_box,2156 Yonge Street,,,,,,43.703845,-79.397914,node,13689858680
Vox Karaoke,,,,,,,,47.59818,-122.326193,node,13874560125
Duet Karaoke,karaoke_box,304 East 48th Street,,,10017,+1 212-753-0030; +1 212-753-0031,https://www.karaokeduet.com/,40.753384,-73.969133,node,13923569239
Bobos Karaoke,karaoke_box,4698 Convoy Street,San Diego,CA,92111,+1 858-384-6436,,32.826857,-117.155317,node,13931984058
Q Karaoke,karaoke_box,4519 South Orange Blossom Trail,Orlando,FL,32839,+1-407-476-8280,http://www.q-karaoke.com/,28.498545,-81.396333,node,14005492206
Neway Karaoke,karaoke_box,9889 Bellaire Boulevard,Houston,TX,77036,,https://www.neway239.com/,29.703151,-95.553407,node,14027604234
Karaoke Court,,,,,,,,36.225783,-115.323285,way,202648158
Ktop Karaoke & Asian Fusion Restaurant,,Race Street,Philadelphia,,19107,,,39.955453,-75.15482,way,338020190
Happy Karaoke,karaoke_box,,,,,,,33.899946,-84.277276,way,422878976
Hanshin Karaoke,karaoke_box,2787 Bell Road,Montgomery,AL,36117,+1 334-593-2038,,32.33935,-86.193771,way,461446423
Karaoke Shelter,shelter,,,,,,,43.604295,-89.784721,way,538848424
Renos Karaoke,karaoke_box,3909 Farnam Street,Omaha,NE,68131,+1-402-884-3884,https://www.renoskaraoke.com/,41.257637,-95.972468,way,807405386
